DATE,VXEEMCLS
3/16/2011,32.86
3/17/2011,30.3
3/18/2011,29.59
3/21/2011,26.45
3/22/2011,25.5
3/23/2011,25
3/24/2011,23.68
3/25/2011,24.1
3/28/2011,24.26
3/29/2011,24.16
3/30/2011,22.9
3/31/2011,23.08
4/1/2011,22.14
4/4/2011,22.91
4/5/2011,22.95
4/6/2011,23.49
4/7/2011,23.81
4/8/2011,24.05
4/11/2011,23.73
4/12/2011,24.13
4/13/2011,22.66
4/14/2011,21.85
4/15/2011,21.07
4/18/2011,23.02
4/19/2011,21.3
4/20/2011,20.59
4/21/2011,21.14
4/22/2011,.
4/25/2011,23.13
4/26/2011,22.35
4/27/2011,22.02
4/28/2011,21.95
4/29/2011,21.85
5/2/2011,23.13
5/3/2011,25.56
5/4/2011,25.5
5/5/2011,26.11
5/6/2011,25.21
5/9/2011,24.37
5/10/2011,23.32
5/11/2011,24.84
5/12/2011,24.4
5/13/2011,25.35
5/16/2011,25.27
5/17/2011,24.95
5/18/2011,23.5
5/19/2011,23.31
5/20/2011,23.28
5/23/2011,25.27
5/24/2011,24.46
5/25/2011,23.16
5/26/2011,22.36
5/27/2011,21.87
5/30/2011,.
5/31/2011,22.29
6/1/2011,25.17
6/2/2011,24.75
6/3/2011,24.78
6/6/2011,26.13
6/7/2011,25.62
6/8/2011,26.09
6/9/2011,24.27
6/10/2011,26.01
6/13/2011,26.49
6/14/2011,24.77
6/15/2011,28.29
6/16/2011,31.03
6/17/2011,29.65
6/20/2011,28.21
6/21/2011,26.29
6/22/2011,25.36
6/23/2011,26.95
6/24/2011,27.51
6/27/2011,27.2
6/28/2011,26.17
6/29/2011,23.86
6/30/2011,22.47
7/1/2011,21.73
7/4/2011,.
7/5/2011,22.66
7/6/2011,22.97
7/7/2011,22.11
7/8/2011,23.34
7/11/2011,25.78
7/12/2011,25.41
7/13/2011,24.46
7/14/2011,26.36
7/15/2011,25.06
7/18/2011,25.14
7/19/2011,23.86
7/20/2011,24.15
7/21/2011,24.21
7/22/2011,23.11
7/25/2011,24.25
7/26/2011,24.54
7/27/2011,28.01
7/28/2011,28.81
7/29/2011,29.96
8/1/2011,28
8/2/2011,28.86
8/3/2011,28.24
8/4/2011,37.9
8/5/2011,42.26
8/8/2011,57.28
8/9/2011,49.54
8/10/2011,56.93
